Paragraph	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2015	B 2016	F 2017	BO 1 2018	BO 2 2019	BO 3 2020
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Tilskud til særlige rabatter	Almindelig virksomhed	Tilskud til anden virks. og invest.tilskud	115.4	116.5	117.8	117.8	117.8	117.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Billetindtægter Øresundstrafikken	Andre driftsindtægter	-595.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Billetindtægter Øresundstrafikken	Andre ordinære driftsomkostninger	65.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Togbetjening af Helsingør-Peberholm	Husleje, leje af arealer,leasing	243.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Togbetjening af Helsingør-Peberholm	Andre driftsindtægter	-30.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Togbetjening af Helsingør-Peberholm	Andre ordinære driftsomkostninger	1.7	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, Helsingør-Peberholm	Togbetjening af Helsingør-Peberholm	Tilskud til anden virks. og invest.tilskud	428.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Jernbanetrafik, Midt- og Vestjylland	Variabelt vederlag til Arriva	Tilskud til anden virks. og invest.tilskud	28.0	28.0	26.3	26.2	26.2	26.2
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Jernbanetrafik, Midt- og Vestjylland	Fast vederlag til Arriva	Tilskud til anden virks. og invest.tilskud	193.7	224.7	212.3	210.0	210.0	210.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, DSB	Forbedring af den kollektive trafik	Salg af varer	0.0	0.0	-5.4	-5.3	-5.3	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, DSB	Forbedring af den kollektive trafik	Tilskud til anden virks. og invest.tilskud	31.2	45.5	307.8	91.5	91.5	91.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, DSB	Betaling til DSB S-tog A/S	Tilskud til anden virks. og invest.tilskud	581.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Jernbanetrafik	Indkøb af jernbanetrafik, DSB	Betaling til DSB, jf. forhandlet kontrakt	Tilskud til anden virks. og invest.tilskud	3578.7	4029.5	4015.3	3978.3	3978.3	3978.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Udligningsordning på postområdet	Udligningsordning på postområdet	Andre driftsindtægter	0.0	0.0	-4.3	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Udligningsordning på postområdet	Udligningsordning på postområdet	Tilskud til erhverv	0.0	0.0	4.3	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Administartive bøder ifm. manglende syn mv.	Administrative bøder	Skatter og afgifter	-39.5	-20.0	-30.0	-30.0	-30.0	-30.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Færdselsrelaterede puljer	Andre ordinære driftsomkostninger	0.0	0.0	22.3	21.5	20.8	20.6
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Bilsyn og alkohollåse	Kontrolafgifter og gebyrer	0.0	0.0	-31.5	-31.5	-31.5	-31.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Bilsyn og alkohollåse	Lønninger / personaleomkostninger	0.0	0.0	16.4	16.4	16.4	16.4
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Bilsyn og alkohollåse	Af- og nedskrivninger	0.0	0.0	1.4	1.4	1.4	1.4
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Bilsyn og alkohollåse	Andre ordinære driftsomkostninger	0.0	0.0	13.7	13.7	13.7	13.7
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Almindelig virksomhed	Lønninger / personaleomkostninger	0.0	0.0	30.3	30.3	30.3	29.2
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Færdselsstyrelsen	Almindelig virksomhed	Andre ordinære driftsomkostninger	0.0	0.0	12.2	12.1	12.1	12.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsens tilskudspulje	Veterantog	Tilskud til anden virks. og invest.tilskud	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Udlånte tjenestemænd	Tjenestemænd ved Odense Lufthavn	Lønninger / personaleomkostninger	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Udlånte tjenestemænd	Tjenestemænd ved Odense Lufthavn	Andre ordinære driftsomkostninger	0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Lokomotivføreruddannelsen	Almindelig virksomhed	Andre driftsindtægter	-22.7	-27.5	-27.5	-27.5	-27.5	-27.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Lokomotivføreruddannelsen	Almindelig virksomhed	Interne statslige overførselsudgifter	0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Lokomotivføreruddannelsen	Almindelig virksomhed	Tilskud til erhverv	22.7	27.5	27.5	27.5	27.5	27.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Jernbanenævnet	Kontrolafgifter og gebyrer	-3.1	-4.6	-4.8	-4.8	-4.8	-4.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Jernbanenævnet	Lønninger / personaleomkostninger	2.5	2.9	3.0	3.0	3.0	3.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Jernbanenævnet	Andre driftsindtægter	-0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Jernbanenævnet	Andre ordinære driftsomkostninger	1.4	1.7	1.8	1.8	1.8	1.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Jernbanenævnet	Fri egenkapital (budget. af årets resultat)	-0.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Togfonden DK	Lønninger / personaleomkostninger	1.6	0.6	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Togfonden DK	Andre driftsindtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Togfonden DK	Andre ordinære driftsomkostninger	2.2	0.4	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Togfonden DK	Fri egenkapital (budget. af årets resultat)	-0.5	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Togfonden DK	Reserveret bevilling (budget. forbrug heraf)	-1.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Færdselsrelaterede puljer	Tilskud til anden virks. og invest.tilskud	0.0	22.9	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på byggeområdet	Kontrolafgifter og gebyrer	0.0	-5.5	-6.0	-6.0	-6.0	-6.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på byggeområdet	Lønninger / personaleomkostninger	0.0	0.0	0.7	0.7	0.7	0.7
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på byggeområdet	Andre ordinære driftsomkostninger	0.0	5.5	5.3	5.3	5.3	5.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Beslutningsgrundlag, koll. trafik	Lønninger / personaleomkostninger	0.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Beslutningsgrundlag, koll. trafik	Andre driftsindtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Beslutningsgrundlag, koll. trafik	Andre ordinære driftsomkostninger	0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Beslutningsgrundlag, koll. trafik	Reserveret bevilling (budget. forbrug heraf)	2.5	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Kontrolafgifter og gebyrer	-31.5	-30.6	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Husleje, leje af arealer,leasing	0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Lønninger / personaleomkostninger	17.4	16.8	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Af- og nedskrivninger	1.9	1.3	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Andre driftsindtægter	-0.2	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Andre ordinære driftsomkostninger	11.5	12.1	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Finansielle omkostninger	0.0	0.4	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Tilsyn med syns- og omsynsvirksomheder	Fri egenkapital (budget. af årets resultat)	0.9	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Kontrolafgifter og gebyrer	-18.4	-20.0	-18.3	-18.3	-18.3	-18.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Lønninger / personaleomkostninger	10.6	15.6	12.0	12.0	12.0	12.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Af- og nedskrivninger	0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Andre driftsindtægter	-0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Andre ordinære driftsomkostninger	4.4	4.4	6.3	6.3	6.3	6.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. med jernbaner	Fri egenkapital (budget. af årets resultat)	3.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret posttilsyn	Kontrolafgifter og gebyrer	-2.3	-2.5	-1.8	-1.8	-1.8	-1.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret posttilsyn	Lønninger / personaleomkostninger	1.0	1.6	1.0	1.0	1.0	1.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret posttilsyn	Andre driftsindtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret posttilsyn	Andre ordinære driftsomkostninger	0.4	0.9	0.8	0.8	0.8	0.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret posttilsyn	Fri egenkapital (budget. af årets resultat)	0.9	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Kontrolafgifter og gebyrer	-5.9	-6.0	-4.5	-4.5	-4.5	-4.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Lønninger / personaleomkostninger	2.5	1.7	2.6	2.6	2.6	2.6
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Af- og nedskrivninger	0.8	0.6	0.8	0.8	0.8	0.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Andre driftsindtægter	-0.2	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Andre ordinære driftsomkostninger	3.0	3.7	1.1	1.1	1.1	1.1
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansierede opgaver mv. på vejområdet	Fri egenkapital (budget. af årets resultat)	-0.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Salg af varer	-0.5	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Kontrolafgifter og gebyrer	-99.9	-97.4	-99.7	-99.7	-99.7	-99.7
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Husleje, leje af arealer,leasing	0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Lønninger / personaleomkostninger	57.8	66.8	58.2	58.2	58.2	58.2
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Af- og nedskrivninger	1.1	0.0	0.8	0.8	0.8	0.8
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Andre driftsindtægter	-0.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Andre ordinære driftsomkostninger	29.4	26.0	34.2	35.3	35.3	35.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Gebyrfinansieret tilsyn med civil luftfart	Fri egenkapital (budget. af årets resultat)	10.8	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Salg af varer	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Kontrolafgifter og gebyrer	-123.3	-119.6	-115.0	-120.6	-121.1	-121.1
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Lønninger / personaleomkostninger	14.3	18.5	13.9	13.9	13.9	13.9
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Andre driftsindtægter	-1.6	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Andre ordinære driftsomkostninger	11.3	16.4	63.9	69.3	69.8	70.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Finansielle indtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Skatter og afgifter	0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Overførselsudgifter til EU og øvrige udland	47.9	47.6	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Interne statslige overførselsudgifter	34.6	34.6	35.1	35.0	35.0	34.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Lufttrafiktjeneste Danmark	Fri egenkapital (budget. af årets resultat)	15.9	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Taksationskommissioner	Lønninger / personaleomkostninger	2.5	1.3	1.3	1.3	1.3	1.3
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Taksationskommissioner	Andre driftsindtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Taksationskommissioner	Andre ordinære driftsomkostninger	0.3	0.0	0.2	1.0	1.9	1.5
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Taksationskommissioner	Fri egenkapital (budget. af årets resultat)	-1.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Salg af varer	-0.6	-0.3	-6.0	-6.0	-6.0	-6.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Kontrolafgifter og gebyrer	-0.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Husleje, leje af arealer,leasing	16.5	15.3	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Lønninger / personaleomkostninger	63.0	79.9	76.7	73.1	67.8	65.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Af- og nedskrivninger	2.1	6.0	5.7	5.7	5.7	5.7
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Andre driftsindtægter	-1.5	-0.7	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Andre ordinære driftsomkostninger	16.9	66.5	32.8	30.6	31.9	34.6
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Finansielle indtægter	-0.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Finansielle omkostninger	1.7	1.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Skatter og afgifter	-0.2	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Overførselsindtægter fra EU	-0.9	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Interne statslige overførselsindtægter	-0.0	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Tilskud til personer	1.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Tilskud til erhverv	0.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Fri egenkapital (budget. af årets resultat)	16.4	-23.9	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Trafik og byggeri mv.	Trafik- og Byggestyrelsen	Trafik- og Byggestyrelsen	Almindelig virksomhed	Reserveret bevilling (budget. forbrug heraf)	-2.2	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Kliplev - Sønderborg	Andre ordinære driftsomkostninger	16.7	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Kliplev - Sønderborg	Tilskud til anden virks. og invest.tilskud	0.0	16.3	16.0	16.0	16.0	16.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Salg af varer	-1.6	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Husleje, leje af arealer,leasing	1.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Andre driftsindtægter	-1.2	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Andre ordinære driftsomkostninger	190.1	228.7	230.1	230.1	230.1	230.1
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Finansielle omkostninger	7.3	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Vintertjeneste	Overførselsindtægter fra EU	-1.1	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Løbende drift af veje mv.	Salg af varer	-55.4	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Løbende drift af veje mv.	Husleje, leje af arealer,leasing	0.5	0.0	0.0	0.0	0.0	0.0
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Løbende drift af veje mv.	Andre driftsindtægter	-9.1	-82.3	-83.2	-83.2	-83.2	-83.2
Transport- og Bygningsministeriet	Veje	Vejdirektoratet	Drift og vintertjeneste	Løbende drift af veje mv.	Andre ordinære driftsomkostninger	536.7	565.2	567.2	564.2	551.8	537.5
